Page,Returning Visitor,New Visitor,Total Visitors,% Returning Visitor,Unique page views,Time on page (min),Bounce rate
Medusas en las aguas limpias de Venecia,11,63,74,"0,149",75,"1,75","100,00 %"
"Mejores diamantes, en todos los sentidos",17,89,106,"0,160",106,"1,25","45,00 %"
"Ni rastro de la COP25, análisis por Raúl Casado",09,32,41,"0,220",40,"1,27","81,82 %"
No a la indiferencia,06,37,43,"0,140",46,"2,73","100,00 %"
NO al desperdicio de comida,11,86,97,"0,113",97,"1,48","33,33 %"
No hay justicia climática sin justicia social,06,23,29,"0,207",29,"1,18","0,00 %"
Obsolescencia programada: qué es y por qué erradicarla,29,129,158,"0,184",181,"2,80","76,92 %"
Por una nueva relación con la naturaleza,29,172,201,"0,144",206,"1,87","65,38 %"
"Qué es un virus, cómo lo enfrentamos y porqué lo hacemos con jabón",29,123,152,"0,191",175,"5,35","72,22 %"
Residuos: La consecuencia no tan visible de la pandemia,23,83,106,"0,217",109,"3,03","0,00 %"
Riego fotovoltaico: la clave para una agricultura más sostenible,26,126,152,"0,171",166,"1,65","80,70 %"
Riesgo Climático de la Infancia: niños expuestos al Cambio Climático,49,100,149,"0,329",181,"2,88","82,54 %"
Save Ralph: ¿Llamado de atención a las industrias o al consumidor?,29,298,327,"0,089",344,"1,87","79,63 %"
Se dejarán de vender coches de combustión para el 2035,23,86,109,"0,211",109,"2,45","81,82 %"
Se presenta el Plan de Acción de Educación Ambiental,17,54,71,"0,239",75,"1,90","33,33 %"
Seaspiracy: ¿Es real la solución que propone a la sobrepesca?,43,224,267,"0,161",278,"0,75","79,31 %"
Si no te preocupa la crisis climática es porque no han sabido contártela,14,52,66,"0,212",66,"3,27","100,00 %"
Todavía hay mucho más que perder,26,138,164,"0,159",215,"4,77","88,36 %"
Top 5 de destinos acuáticos en europa,09,57,66,"0,136",66,"2,10","0,00 %"
Tripulación aérea y de ferrocarriles utilizarán uniformes sostenibles,17,63,80,"0,213",83,"0,62","100,00 %"
"Turismo covid free, sobre ruedas",23,155,178,"0,129",181,"1,55","78,57 %"
Turismo espacial: viajes para pocos que afectarían a muchos,09,77,86,"0,105",100,"4,98","47,83 %"
Turismo sostenible: ideas para disfrutar del verano,14,92,106,"0,132",106,"1,62","85,00 %"
Un nuevo sistema pone freno a los residuos en el mar en Cataluña,23,140,163,"0,141",166,"1,90","90,62 %"
Un tercio de las especies de tiburones están en peligro de extinción,32,115,147,"0,218",152,"2,58","73,91 %"
Yvon Chouinard: pionero en la moda funcional y sostenible,75,593,668,"0,112",682,"1,57","74,16 %"
